k, l, time, score, round, eps
3,3,0.051124167000011767,80,3,0.6
5,2,0.010991375000003245,248,3,0.6
5,3,0.24312541699998746,243,3,0.6
7,2,0.026507166999977017,654,3,0.6
7,3,0.5876117090000434,654,3,0.6
9,2,0.04505079200009732,1146,3,0.6
9,3,1.0004037920000428,1141,3,0.6
11,2,0.07764966699994602,1675,3,0.6
11,3,1.7456128750000062,1675,3,0.6
13,2,0.11055704199998218,2505,3,0.6
13,3,2.4723354589999644,2488,3,0.6
4,4,2.002092374999961,162,3,0.6
7,4,9.477023458999952,654,3,0.6
10,4,22.842856125000026,1378,3,0.6
13,4,39.47321845900001,2473,3,0.6
3,2,0.0022844579999627967,86,3,0.9
3,3,0.0399072080000451,80,3,0.9
5,2,0.00791174999994837,248,3,0.9
5,3,0.16591858300000695,243,3,0.9
7,2,0.01954216699994049,654,3,0.9
7,3,0.45372908399997414,690,3,0.9
9,2,0.0720702920000349,1146,3,0.9
9,3,1.0195911250000336,1159,3,0.9
11,2,0.08728591600004165,1675,3,0.9
11,3,1.6886042920000364,1699,3,0.9
13,2,0.09860133299991958,2505,3,0.9
13,3,2.2528051670000195,2497,3,0.9
4,4,1.5836434999999938,162,3,0.9
7,4,6.714616458000023,654,3,0.9
10,4,16.975848874999997,1443,3,0.9
13,4,33.949939000000086,2477,3,0.9
3,2,0.005869458000006489,78,4,0.1
3,3,0.11615129100005106,78,4,0.1
5,2,0.02200670800016269,383,4,0.1
5,3,0.46967183399988244,316,4,0.1
7,2,0.047993791999942914,539,4,0.1
7,3,1.0263616250001633,524,4,0.1
9,2,0.07935845900010463,1129,4,0.1
9,3,1.7658109579999746,1130,4,0.1
11,2,0.13959137500000907,1819,4,0.1
11,3,2.9518430000000535,1834,4,0.1
13,2,0.2100001250000787,2593,4,0.1
13,3,4.831848750000063,2733,4,0.1
4,4,3.9088755830000537,153,4,0.1
7,4,15.571089792000066,502,4,0.1
10,4,35.633324208999966,1433,4,0.1
13,4,66.48051970799997,2632,4,0.1
3,2,0.0038901670000086597,78,4,0.3
3,3,0.07405983300009211,78,4,0.3
5,2,0.015191833000017141,383,4,0.3
5,3,0.32050649999996494,316,4,0.3
